ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_month,list_date,delist_date,last_ddate
MA2602.ZCE,MA602,CZCE,甲醇2602,MA,,吨,10.0,人民币元/吨,1人民币元/吨,202602,2025-02-19,2026-02-13,20260226
PF2602.ZCE,PF602,CZCE,短纤2602,PF,,吨,5.0,人民币元/吨,2人民币元/吨,202602,2025-02-19,2026-02-13,20260226
PR2602.ZCE,PR602,CZCE,瓶片2602,PR,,吨,15.0,人民币元/吨,2人民币元/吨,202602,2025-02-19,2026-02-13,20260226
PX2602.ZCE,PX602,CZCE,对二甲苯2602,PX,,吨,5.0,人民币元/吨,2人民币元/吨,202602,2025-02-19,2026-02-13,20260226
SA2602.ZCE,SA602,CZCE,纯碱2602,SA,,吨,20.0,人民币元/吨,1人民币元/吨,202602,2025-02-19,2026-02-13,20260226
SF2602.ZCE,SF602,CZCE,硅铁2602,SF,,吨,5.0,人民币元/吨,2人民币元/吨,202602,2025-02-19,2026-02-13,20260226
SH2602.ZCE,SH602,CZCE,烧碱2602,SH,,吨,30.0,人民币元/吨,1人民币元/吨,202602,2025-02-19,2026-02-13,20260226
SM2602.ZCE,SM602,CZCE,锰硅2602,SM,,吨,5.0,人民币元/吨,2人民币元/吨,202602,2025-02-19,2026-02-13,20260226
TA2602.ZCE,TA602,CZCE,PTA2602,TA,,吨,5.0,人民币元/吨,2人民币元/吨,202602,2025-02-19,2026-02-13,20260226
UR2602.ZCE,UR602,CZCE,尿素2602,UR,,吨,20.0,人民币元/吨,1人民币元/吨,202602,2025-02-19,2026-02-13,20260226
LU2606.INE,LU2606,INE,低硫燃料油2606,LU,,吨,10.0,人民币元/吨,1人民币元/吨,202606,2025-06-03,2026-05-29,20260605
PL2602.ZCE,PL602,CZCE,丙烯2602,PL,,吨,20.0,人民币元/吨,1人民币元/吨,202602,2025-07-22,2026-02-13,20260226
PL2603.ZCE,PL603,CZCE,丙烯2603,PL,,吨,20.0,人民币元/吨,1人民币元/吨,202603,2025-07-22,2026-03-13,20260318
PL2604.ZCE,PL604,CZCE,丙烯2604,PL,,吨,20.0,人民币元/吨,1人民币元/吨,202604,2025-07-22,2026-04-15,20260420
PL2605.ZCE,PL605,CZCE,丙烯2605,PL,,吨,20.0,人民币元/吨,1人民币元/吨,202605,2025-07-22,2026-05-19,20260522
PL2606.ZCE,PL606,CZCE,丙烯2606,PL,,吨,20.0,人民币元/吨,1人民币元/吨,202606,2025-07-22,2026-06-12,20260617
PL2607.ZCE,PL607,CZCE,丙烯2607,PL,,吨,20.0,人民币元/吨,1人民币元/吨,202607,2025-07-22,2026-07-14,20260717
LC2610.GFE,LC2610,GFEX,碳酸锂2610,LC,,吨,1.0,人民币元/吨,20人民币元/吨,202610,2025-10-23,2026-10-21,20261026
BZ2604.DCE,BZ2604,DCE,纯苯2604,BZ,,吨,30.0,人民币元/吨,1人民币元/吨,202604,2025-07-08,2026-04-27,20260430
AD2606.SHF,AD2606,SHFE,铸造铝合金2606,AD,,吨,10.0,人民币元/吨,5人民币元/吨,202606,2025-06-17,2026-06-15,20260617
NI2605.SHF,NI2605,SHFE,沪镍2605,NI,,吨,1.0,人民币元/吨,10人民币元/吨,202605,2025-05-16,2026-05-15,20260519
AD2607.SHF,AD2607,SHFE,铸造铝合金2607,AD,,吨,10.0,人民币元/吨,5人民币元/吨,202607,2025-07-16,2026-07-15,20260717
SC2604.INE,SC2604,INE,原油2604,SC,,桶,1000.0,人民币元/桶,0.1人民币元/桶,202604,2025-04-01,2026-03-31,20260408
HC2610.SHF,HC2610,SHFE,热轧卷板2610,HC,,吨,10.0,人民币元/吨,1人民币元/吨,202610,2025-10-16,2026-10-15,20261019
LU2605.INE,LU2605,INE,低硫燃料油2605,LU,,吨,10.0,人民币元/吨,1人民币元/吨,202605,2025-05-06,2026-04-30,20260512
RS2608.ZCE,RS608,CZCE,菜籽2608,RS,,吨,10.0,人民币元/吨,1人民币元/吨,202608,2025-08-15,2026-08-14,20260819
WR2608.SHF,WR2608,SHFE,线材2608,WR,,吨,10.0,人民币元/吨,1人民币元/吨,202608,2025-08-18,2026-08-17,20260819
WR2611.SHF,WR2611,SHFE,线材2611,WR,,吨,10.0,人民币元/吨,1人民币元/吨,202611,2025-11-18,2026-11-16,20261118
PF2608.ZCE,PF608,CZCE,短纤2608,PF,,吨,5.0,人民币元/吨,2人民币元/吨,202608,2025-08-15,2026-08-14,20260819
TA2606.ZCE,TA606,CZCE,PTA2606,TA,,吨,5.0,人民币元/吨,2人民币元/吨,202606,2025-06-17,2026-06-12,20260617
NR2604.INE,NR2604,INE,20号胶2604,NR,,吨,10.0,人民币元/吨,5人民币元/吨,202604,2025-04-16,2026-04-15,20260422
RR2603.DCE,RR2603,DCE,粳米2603,RR,,吨,10.0,人民币元/吨,1人民币元/吨,202603,2025-03-17,2026-03-13,20260318
RS2609.ZCE,RS609,CZCE,菜籽2609,RS,,吨,10.0,人民币元/吨,1人民币元/吨,202609,2025-09-15,2026-09-14,20260917
ZC2607.ZCE,ZC607,CZCE,动力煤2607,ZC,,吨,100.0,人民币元/吨,0.2人民币元/吨,202607,2025-07-08,2026-07-07,20260710
P2605.DCE,P2605,DCE,棕榈油2605,P,,吨,10.0,人民币元/吨,2人民币元/吨,202605,2025-05-20,2026-05-19,20260522
IH2603.CFX,IH2603,CFFEX,IH2603,IH,300.0,张,1.0,指数点,0.2指数点,202603,2025-07-21,2026-03-20,20260320
HC2602.SHF,HC2602,SHFE,热轧卷板2602,HC,,吨,10.0,人民币元/吨,1人民币元/吨,202602,2025-02-18,2026-02-24,20260226
PL2611.ZCE,PL611,CZCE,丙烯2611,PL,,吨,20.0,人民币元/吨,1人民币元/吨,202611,2025-11-17,2026-11-13,20261118
BU2609.SHF,BU2609,SHFE,沥青2609,BU,,吨,10.0,人民币元/吨,1人民币元/吨,202609,2024-09-19,2026-09-15,20260917
SI2610.GFE,SI2610,GFEX,工业硅2610,SI,,吨,5.0,人民币元/吨,5人民币元/吨,202610,2025-10-23,2026-10-21,20261026
PL2612.ZCE,PL612,CZCE,丙烯2612,PL,,吨,20.0,人民币元/吨,1人民币元/吨,202612,2025-12-15,2026-12-14,20261217
SP2608.SHF,SP2608,SHFE,纸浆2608,SP,,吨,10.0,人民币元/吨,2人民币元/吨,202608,2025-08-18,2026-08-17,20260819
BZ2605.DCE,BZ2605,DCE,纯苯2605,BZ,,吨,30.0,人民币元/吨,1人民币元/吨,202605,2025-07-08,2026-05-26,20260529
BZ2606.DCE,BZ2606,DCE,纯苯2606,BZ,,吨,30.0,人民币元/吨,1人民币元/吨,202606,2025-07-08,2026-06-25,20260630
ZC2602.ZCE,ZC602,CZCE,动力煤2602,ZC,,吨,100.0,人民币元/吨,0.2人民币元/吨,202602,2025-02-12,2026-02-06,20260211
AU2608.SHF,AU2608,SHFE,沪金2608,AU,,克,1000.0,人民币元/克,0.02人民币元/克,202608,2025-07-16,2026-08-17,20260818
SP2605.SHF,SP2605,SHFE,纸浆2605,SP,,吨,10.0,人民币元/吨,2人民币元/吨,202605,2025-05-16,2026-05-15,20260519
PG2605.DCE,PG2605,DCE,LPG2605,PG,,吨,20.0,人民币元/吨,1人民币元/吨,202605,2025-05-28,2026-05-26,20260529
OP2602.SHF,OP2602,SHFE,双胶纸2602,OP,,吨,40.0,人民币元/吨,2人民币元/吨,202602,2025-09-10,2026-02-24,20260226
OP2603.SHF,OP2603,SHFE,双胶纸2603,OP,,吨,40.0,人民币元/吨,2人民币元/吨,202603,2025-09-10,2026-03-16,20260318
OP2604.SHF,OP2604,SHFE,双胶纸2604,OP,,吨,40.0,人民币元/吨,2人民币元/吨,202604,2025-09-10,2026-04-15,20260417
OP2605.SHF,OP2605,SHFE,双胶纸2605,OP,,吨,40.0,人民币元/吨,2人民币元/吨,202605,2025-09-10,2026-05-15,20260519
OP2606.SHF,OP2606,SHFE,双胶纸2606,OP,,吨,40.0,人民币元/吨,2人民币元/吨,202606,2025-09-10,2026-06-15,20260617
OP2607.SHF,OP2607,SHFE,双胶纸2607,OP,,吨,40.0,人民币元/吨,2人民币元/吨,202607,2025-09-10,2026-07-15,20260717
OP2608.SHF,OP2608,SHFE,双胶纸2608,OP,,吨,40.0,人民币元/吨,2人民币元/吨,202608,2025-09-10,2026-08-17,20260819
SP2602.SHF,SP2602,SHFE,纸浆2602,SP,,吨,10.0,人民币元/吨,2人民币元/吨,202602,2025-02-18,2026-02-24,20260226
SN2606.SHF,SN2606,SHFE,沪锡2606,SN,,吨,1.0,人民币元/吨,10人民币元/吨,202606,2025-06-17,2026-06-15,20260617
BB2607.DCE,BB2607,DCE,胶合板2607,BB,,张,500.0,人民币元/张,0.05人民币元/张,202607,2025-07-15,2026-07-14,20260717
P2607.DCE,P2607,DCE,棕榈油2607,P,,吨,10.0,人民币元/吨,2人民币元/吨,202607,2025-07-15,2026-07-14,20260717
RB2608.SHF,RB2608,SHFE,螺纹钢2608,RB,,吨,10.0,人民币元/吨,1人民币元/吨,202608,2025-08-18,2026-08-17,20260819
BC2611.INE,BC2611,INE,国际铜2611,BC,,吨,5.0,人民币元/吨,10人民币元/吨,202611,2025-11-18,2026-11-16,20261123
PR2608.ZCE,PR608,CZCE,瓶片2608,PR,,吨,15.0,人民币元/吨,2人民币元/吨,202608,2025-08-15,2026-08-14,20260819
PP2603.DCE,PP2603,DCE,聚丙烯2603,PP,,吨,5.0,人民币元/吨,1人民币元/吨,202603,2025-03-17,2026-03-13,20260318
RU2605.SHF,RU2605,SHFE,橡胶2605,RU,,吨,10.0,人民币元/吨,5人民币元/吨,202605,2025-05-16,2026-05-15,20260519
PG2607.DCE,PG2607,DCE,LPG2607,PG,,吨,20.0,人民币元/吨,1人民币元/吨,202607,2025-07-29,2026-07-28,20260731
PP2605.DCE,PP2605,DCE,聚丙烯2605,PP,,吨,5.0,人民币元/吨,1人民币元/吨,202605,2025-05-20,2026-05-19,20260522
OP2610.SHF,OP2610,SHFE,双胶纸2610,OP,,吨,40.0,人民币元/吨,2人民币元/吨,202610,2025-10-16,2026-10-15,20261019
JD2604.DCE,JD2604,DCE,鸡蛋2604,JD,,吨,5.0,人民币元/500千克,1人民币元/500千克,202604,2025-04-28,2026-04-27,20260430
CF2701.ZCE,CF701,CZCE,郑棉2701,CF,,吨,5.0,人民币元/吨,5人民币元/吨,202701,2026-01-19,2027-01-14,20270119
BC2608.INE,BC2608,INE,国际铜2608,BC,,吨,5.0,人民币元/吨,10人民币元/吨,202608,2025-08-18,2026-08-17,20260824
M2607.DCE,M2607,DCE,豆粕2607,M,,吨,10.0,人民币元/吨,1人民币元/吨,202607,2025-07-15,2026-07-14,20260717
IC2609.CFX,IC2609,CFFEX,IC2609,IC,200.0,张,1.0,指数点,0.2指数点,202609,2026-01-19,2026-09-18,20260918
HC2612.SHF,HC2612,SHFE,热轧卷板2612,HC,,吨,10.0,人民币元/吨,1人民币元/吨,202612,2025-12-16,2026-12-15,20261217
LU2602.INE,LU2602,INE,低硫燃料油2602,LU,,吨,10.0,人民币元/吨,1人民币元/吨,202602,2025-02-05,2026-01-30,20260206
P2606.DCE,P2606,DCE,棕榈油2606,P,,吨,10.0,人民币元/吨,2人民币元/吨,202606,2025-06-17,2026-06-12,20260617
EB2612.DCE,EB2612,DCE,苯乙烯2612,EB,,吨,5.0,人民币元/吨,1人民币元/吨,202612,2025-12-29,2026-12-28,20261231
ZC2611.ZCE,ZC611,CZCE,动力煤2611,ZC,,吨,100.0,人民币元/吨,0.2人民币元/吨,202611,2025-11-10,2026-11-06,20261111
HC2604.SHF,HC2604,SHFE,热轧卷板2604,HC,,吨,10.0,人民币元/吨,1人民币元/吨,202604,2025-04-16,2026-04-15,20260417
RM2701.ZCE,RM701,CZCE,菜粕2701,RM,,吨,10.0,人民币元/吨,1人民币元/吨,202701,2026-01-19,2027-01-14,20270119
SCTAS2605.INE,SC2605TAS,INE,原油2605TAS,SCTAS,,桶,1000.0,人民币元/桶,0.1人民币元/桶,202605,2026-01-05,2026-04-20,
TL2609.CFX,TL2609,CFFEX,TL2609,TL,10000.0,张,1.0,人民币元,0.01人民币元,202609,2025-12-15,2026-09-11,20260916
JM2605.DCE,JM2605,DCE,焦煤2605,JM,,吨,60.0,人民币元/吨,0.5人民币元/吨,202605,2025-05-20,2026-05-19,20260522
SN2602.SHF,SN2602,SHFE,沪锡2602,SN,,吨,1.0,人民币元/吨,10人民币元/吨,202602,2025-02-18,2026-02-24,20260226
RU2701.SHF,RU2701,SHFE,橡胶2701,RU,,吨,10.0,人民币元/吨,5人民币元/吨,202701,2026-01-16,2027-01-15,20270119
SN2610.SHF,SN2610,SHFE,沪锡2610,SN,,吨,1.0,人民币元/吨,10人民币元/吨,202610,2025-10-16,2026-10-15,20261019
SI2609.GFE,SI2609,GFEX,工业硅2609,SI,,吨,5.0,人民币元/吨,5人民币元/吨,202609,2025-09-15,2026-09-14,20260917
SC2610.INE,SC2610,INE,原油2610,SC,,桶,1000.0,人民币元/桶,0.1人民币元/桶,202610,2025-10-09,2026-09-30,20261014
PS2607.GFE,PS2607,GFEX,多晶硅2607,PS,,吨,3.0,人民币元/吨,5人民币元/吨,202607,2025-07-15,2026-07-14,20260717
JD2603.DCE,JD2603,DCE,鸡蛋2603,JD,,吨,5.0,人民币元/500千克,1人民币元/500千克,202603,2025-03-27,2026-03-26,20260331
PL2609.ZCE,PL609,CZCE,丙烯2609,PL,,吨,20.0,人民币元/吨,1人民币元/吨,202609,2025-09-15,2026-09-14,20260917
LH2607.DCE,LH2607,DCE,生猪2607,LH,,吨,16.0,人民币元/吨,5人民币元/吨,202607,2025-07-29,2026-07-28,20260731
JM2607.DCE,JM2607,DCE,焦煤2607,JM,,吨,60.0,人民币元/吨,0.5人民币元/吨,202607,2025-07-15,2026-07-14,20260717
WR2610.SHF,WR2610,SHFE,线材2610,WR,,吨,10.0,人民币元/吨,1人民币元/吨,202610,2025-10-16,2026-10-15,20261019
WR2609.SHF,WR2609,SHFE,线材2609,WR,,吨,10.0,人民币元/吨,1人民币元/吨,202609,2025-09-16,2026-09-15,20260917
J2607.DCE,J2607,DCE,焦炭2607,J,,吨,100.0,人民币元/吨,0.5人民币元/吨,202607,2025-07-15,2026-07-14,20260717
NI2607.SHF,NI2607,SHFE,沪镍2607,NI,,吨,1.0,人民币元/吨,10人民币元/吨,202607,2025-07-16,2026-07-15,20260717
CS2605.DCE,CS2605,DCE,玉米淀粉2605,CS,,吨,10.0,人民币元/吨,1人民币元/吨,202605,2025-05-20,2026-05-19,20260522
LH2605.DCE,LH2605,DCE,生猪2605,LH,,吨,16.0,人民币元/吨,5人民币元/吨,202605,2025-05-28,2026-05-26,20260529
WR2605.SHF,WR2605,SHFE,线材2605,WR,,吨,10.0,人民币元/吨,1人民币元/吨,202605,2025-05-16,2026-05-15,20260519
Y2607.DCE,Y2607,DCE,豆油2607,Y,,吨,10.0,人民币元/吨,2人民币元/吨,202607,2025-07-15,2026-07-14,20260717
ZC2608.ZCE,ZC608,CZCE,动力煤2608,ZC,,吨,100.0,人民币元/吨,0.2人民币元/吨,202608,2025-08-08,2026-08-07,20260812
LC2701.GFE,LC2701,GFEX,碳酸锂2701,LC,,吨,1.0,人民币元/吨,20人民币元/吨,202701,2026-01-19,2027-01-15,20270120
PG2602.DCE,PG2602,DCE,LPG2602,PG,,吨,20.0,人民币元/吨,1人民币元/吨,202602,2025-02-26,2026-02-24,20260227
MA2612.ZCE,MA612,CZCE,甲醇2612,MA,,吨,10.0,人民币元/吨,1人民币元/吨,202612,2025-12-15,2026-12-14,20261217
CY2608.ZCE,CY608,CZCE,棉纱2608,CY,,吨,5.0,人民币元/吨,5人民币元/吨,202608,2025-08-15,2026-08-14,20260819
B2604.DCE,B2604,DCE,豆二2604,B,,吨,10.0,人民币元/吨,1人民币元/吨,202604,2025-04-16,2026-04-15,20260420
CJ2612.ZCE,CJ612,CZCE,红枣2612,CJ,,吨,5.0,人民币元/吨,5人民币元/吨,202612,2025-12-15,2026-12-14,20261217
BR2605.SHF,BR2605,SHFE,丁二烯橡胶2605,BR,,吨,5.0,人民币元/吨,5人民币元/吨,202605,2025-05-16,2026-05-15,20260519
PR2609.ZCE,PR609,CZCE,瓶片2609,PR,,吨,15.0,人民币元/吨,2人民币元/吨,202609,2025-09-15,2026-09-14,20260917
WR2612.SHF,WR2612,SHFE,线材2612,WR,,吨,10.0,人民币元/吨,1人民币元/吨,202612,2025-12-16,2026-12-15,20261217
M2701.DCE,M2701,DCE,豆粕2701,M,,吨,10.0,人民币元/吨,1人民币元/吨,202701,2026-01-19,2027-01-15,20270120
UR2607.ZCE,UR607,CZCE,尿素2607,UR,,吨,20.0,人民币元/吨,1人民币元/吨,202607,2025-07-15,2026-07-14,20260717
SS2604.SHF,SS2604,SHFE,不锈钢2604,SS,,吨,5.0,人民币元/吨,5人民币元/吨,202604,2025-04-16,2026-04-15,20260417
PF2612.ZCE,PF612,CZCE,短纤2612,PF,,吨,5.0,人民币元/吨,2人民币元/吨,202612,2025-12-15,2026-12-14,20261217
FG2701.ZCE,FG701,CZCE,玻璃2701,FG,,吨,20.0,人民币元/吨,1人民币元/吨,202701,2026-01-19,2027-01-14,20270119
HC2608.SHF,HC2608,SHFE,热轧卷板2608,HC,,吨,10.0,人民币元/吨,1人民币元/吨,202608,2025-08-18,2026-08-17,20260819
PB2608.SHF,PB2608,SHFE,沪铅2608,PB,,吨,5.0,人民币元/吨,5人民币元/吨,202608,2025-08-18,2026-08-17,20260819
OI2609.ZCE,OI609,CZCE,菜油2609,OI,,吨,10.0,人民币元/吨,1人民币元/吨,202609,2025-09-15,2026-09-14,20260917
RB2609.SHF,RB2609,SHFE,螺纹钢2609,RB,,吨,10.0,人民币元/吨,1人民币元/吨,202609,2025-09-16,2026-09-15,20260917
PS2609.GFE,PS2609,GFEX,多晶硅2609,PS,,吨,3.0,人民币元/吨,5人民币元/吨,202609,2025-09-15,2026-09-14,20260917
SP2610.SHF,SP2610,SHFE,纸浆2610,SP,,吨,10.0,人民币元/吨,2人民币元/吨,202610,2025-10-16,2026-10-15,20261019
PS2606.GFE,PS2606,GFEX,多晶硅2606,PS,,吨,3.0,人民币元/吨,5人民币元/吨,202606,2025-06-17,2026-06-12,20260617
L2606F.DCE,L2606F,DCE,塑料月均价2606F,L_F,,吨,5.0,人民币元/吨,1人民币元/吨,202606,2025-12-01,2026-05-29,20260529
PP2606F.DCE,PP2606F,DCE,聚丙烯月均价2606F,PP_F,,吨,5.0,人民币元/吨,1人民币元/吨,202606,2025-12-01,2026-05-29,20260529
V2606F.DCE,V2606F,DCE,PVC月均价2606F,V_F,,吨,5.0,人民币元/吨,1人民币元/吨,202606,2025-12-01,2026-05-29,20260529
MA2607.ZCE,MA607,CZCE,甲醇2607,MA,,吨,10.0,人民币元/吨,1人民币元/吨,202607,2025-07-15,2026-07-14,20260717
V2608.DCE,V2608,DCE,PVC2608,V,,吨,5.0,人民币元/吨,1人民币元/吨,202608,2025-08-15,2026-08-14,20260819
SS2612.SHF,SS2612,SHFE,不锈钢2612,SS,,吨,5.0,人民币元/吨,5人民币元/吨,202612,2025-12-16,2026-12-15,20261217
AO2606.SHF,AO2606,SHFE,氧化铝2606,AO,,吨,20.0,人民币元/吨,1人民币元/吨,202606,2025-06-17,2026-06-15,20260617
RR2606.DCE,RR2606,DCE,粳米2606,RR,,吨,10.0,人民币元/吨,1人民币元/吨,202606,2025-06-17,2026-06-12,20260617
RR2701.DCE,RR2701,DCE,粳米2701,RR,,吨,10.0,人民币元/吨,1人民币元/吨,202701,2026-01-19,2027-01-15,20270120
OP2612.SHF,OP2612,SHFE,双胶纸2612,OP,,吨,40.0,人民币元/吨,2人民币元/吨,202612,2025-12-16,2026-12-15,20261217
SH2608.ZCE,SH608,CZCE,烧碱2608,SH,,吨,30.0,人民币元/吨,1人民币元/吨,202608,2025-08-15,2026-08-14,20260819
PB2609.SHF,PB2609,SHFE,沪铅2609,PB,,吨,5.0,人民币元/吨,5人民币元/吨,202609,2025-09-16,2026-09-15,20260917
AO2604.SHF,AO2604,SHFE,氧化铝2604,AO,,吨,20.0,人民币元/吨,1人民币元/吨,202604,2025-04-16,2026-04-15,20260417
WR2603.SHF,WR2603,SHFE,线材2603,WR,,吨,10.0,人民币元/吨,1人民币元/吨,202603,2025-03-18,2026-03-16,20260318
SM2609.ZCE,SM609,CZCE,锰硅2609,SM,,吨,5.0,人民币元/吨,2人民币元/吨,202609,2025-09-15,2026-09-14,20260917
AG2610.SHF,AG2610,SHFE,沪银2610,AG,,千克,15.0,人民币元/千克,1人民币元/千克,202610,2025-10-16,2026-10-15,20261019
EG2603.DCE,EG2603,DCE,乙二醇2603,EG,,吨,10.0,人民币元/吨,1人民币元/吨,202603,2025-03-27,2026-03-26,20260331
PP2604.DCE,PP2604,DCE,聚丙烯2604,PP,,吨,5.0,人民币元/吨,1人民币元/吨,202604,2025-04-16,2026-04-15,20260420
PB2612.SHF,PB2612,SHFE,沪铅2612,PB,,吨,5.0,人民币元/吨,5人民币元/吨,202612,2025-12-16,2026-12-15,20261217
BU2703.SHF,BU2703,SHFE,沥青2703,BU,,吨,10.0,人民币元/吨,1人民币元/吨,202703,2025-03-18,2027-03-15,20270317
CY2610.ZCE,CY610,CZCE,棉纱2610,CY,,吨,5.0,人民币元/吨,5人民币元/吨,202610,2025-10-23,2026-10-21,20261026
PM2609.ZCE,PM609,CZCE,普麦2609,PM,,吨,50.0,人民币元/吨,1人民币元/吨,202609,2025-09-15,2026-09-14,20260917
UR2612.ZCE,UR612,CZCE,尿素2612,UR,,吨,20.0,人民币元/吨,1人民币元/吨,202612,2025-12-15,2026-12-14,20261217
IC2603.CFX,IC2603,CFFEX,IC2603,IC,200.0,张,1.0,指数点,0.2指数点,202603,2025-07-21,2026-03-20,20260320
BC2602.INE,BC2602,INE,国际铜2602,BC,,吨,5.0,人民币元/吨,10人民币元/吨,202602,2025-02-18,2026-02-24,20260303
RB2607.SHF,RB2607,SHFE,螺纹钢2607,RB,,吨,10.0,人民币元/吨,1人民币元/吨,202607,2025-07-16,2026-07-15,20260717
RS2607.ZCE,RS607,CZCE,菜籽2607,RS,,吨,10.0,人民币元/吨,1人民币元/吨,202607,2025-07-15,2026-07-14,20260717
PS2602.GFE,PS2602,GFEX,多晶硅2602,PS,,吨,3.0,人民币元/吨,5人民币元/吨,202602,2025-02-19,2026-02-13,20260226
PB2606.SHF,PB2606,SHFE,沪铅2606,PB,,吨,5.0,人民币元/吨,5人民币元/吨,202606,2025-06-17,2026-06-15,20260617
WR2606.SHF,WR2606,SHFE,线材2606,WR,,吨,10.0,人民币元/吨,1人民币元/吨,202606,2025-06-17,2026-06-15,20260617
NR2603.INE,NR2603,INE,20号胶2603,NR,,吨,10.0,人民币元/吨,5人民币元/吨,202603,2025-03-18,2026-03-16,20260323
AO2608.SHF,AO2608,SHFE,氧化铝2608,AO,,吨,20.0,人民币元/吨,1人民币元/吨,202608,2025-08-18,2026-08-17,20260819
TA2610.ZCE,TA610,CZCE,PTA2610,TA,,吨,5.0,人民币元/吨,2人民币元/吨,202610,2025-10-23,2026-10-21,20261026
AG2604.SHF,AG2604,SHFE,沪银2604,AG,,千克,15.0,人民币元/千克,1人民币元/千克,202604,2025-04-16,2026-04-15,20260417
BC2612.INE,BC2612,INE,国际铜2612,BC,,吨,5.0,人民币元/吨,10人民币元/吨,202612,2025-12-16,2026-12-15,20261222
